date,userID,itemID,order,label,comID
2020-12-11,0,20664,1,0,020664
2020-12-11,0,28231,1,3,028231
2020-10-05,10000,23148,1,0,1000023148
2020-10-05,10000,6,1,0,100006
2020-09-04,10001,2113,2,0,100012113
2020-09-04,10001,22754,2,0,1000122754
2020-07-21,10001,29820,1,0,1000129820
2020-09-04,10001,8463,1,0,100018463
2020-12-30,10002,10341,1,0,1000210341
2020-12-30,10002,24953,1,0,1000224953
2020-11-24,10002,25012,1,0,1000225012
2020-10-08,1000,22572,2,0,100022572
2020-11-24,10002,9262,1,0,100029262
2020-10-27,10003,10376,3,0,1000310376
2020-11-21,10003,11492,1,0,1000311492
2020-08-27,10006,2104,1,0,100062104
2020-12-11,10007,18796,1,0,1000718796
2020-12-11,10007,19018,1,0,1000719018
2020-12-11,10007,20659,1,0,1000720659
2020-12-11,10007,24369,2,0,1000724369
2020-09-21,10008,25116,4,0,1000825116
2020-12-29,10011,20150,2,1,1001120150
2020-12-29,10011,24555,1,1,1001124555
2020-12-29,10011,29831,1,1,1001129831
2020-07-28,10011,3510,1,0,100113510
2020-12-17,1001,16824,1,0,100116824
2020-10-04,1001,18630,1,0,100118630
2020-10-11,10012,14424,2,0,1001214424
2020-11-15,10012,2428,1,0,100122428
2020-09-17,1001,28309,1,0,100128309
2020-08-18,1001,29384,1,0,100129384
2020-09-11,1001,29657,4,3,100129657
2020-10-20,10013,15971,1,0,1001315971
2020-10-20,10013,17489,1,0,1001317489
2020-12-19,10014,19976,1,0,1001419976
2020-11-10,10015,16294,1,0,1001516294
2020-12-16,10015,18298,10,0,1001518298
2020-11-10,10015,6890,2,0,100156890
2020-11-10,10015,8935,5,0,100158935
2020-11-28,10016,11492,1,0,1001611492
2020-11-28,10016,16972,1,0,1001616972
2020-08-18,10016,6263,2,4,100166263
2020-08-30,10017,25100,1,0,1001725100
2020-12-07,1001,7976,1,0,10017976
2020-12-15,10020,17419,1,0,1002017419
2020-11-28,10021,11535,2,0,1002111535
2020-12-22,10021,14642,1,0,1002114642
2020-11-16,10021,15376,1,0,1002115376
2020-11-28,10021,18863,1,0,1002118863
2020-10-13,10021,27432,1,0,1002127432
2020-12-22,10021,4194,1,0,100214194
2020-11-16,10021,5801,2,0,100215801
2020-12-05,1002,16362,1,0,100216362
2020-12-22,10021,7923,2,0,100217923
2020-12-05,1002,2418,2,0,10022418
2020-09-16,1002,30375,1,0,100230375
2020-11-15,10023,11876,2,0,1002311876
2020-11-24,10023,29657,3,0,1002329657
2020-12-05,1002,4066,1,0,10024066
2020-12-15,10024,11749,1,1,1002411749
2020-11-04,10024,20945,1,0,1002420945
2020-11-04,10024,25491,3,0,1002425491
2020-10-27,10024,31316,1,0,1002431316
2020-07-06,10024,6024,1,4,100246024
2020-12-12,10024,6261,1,0,100246261
2020-12-18,10024,7997,1,0,100247997
2020-12-15,10025,25254,1,0,1002525254
2020-12-19,10026,19267,6,0,1002619267
2020-10-09,10026,5162,1,0,100265162
2020-09-14,10028,1252,1,0,100281252
2020-12-16,10028,15618,1,0,1002815618
2020-12-16,10028,32304,1,0,1002832304
2020-12-16,10028,7734,1,0,100287734
2020-07-19,10029,26381,1,3,1002926381
2020-07-19,10029,6984,2,3,100296984
2020-11-14,10030,11527,5,0,1003011527
2020-11-14,10030,20873,2,0,1003020873
2020-11-14,10031,22417,1,0,1003122417
2020-10-12,10031,24672,2,0,1003124672
2020-10-12,10031,32197,2,0,1003132197
2020-11-14,10031,8628,1,0,100318628
2020-11-23,10032,20266,2,0,1003220266
2020-11-23,10032,22990,3,0,1003222990
2020-11-09,10032,32349,1,0,1003232349
2020-11-23,10032,9906,1,0,100329906
2020-12-19,10033,5594,1,0,100335594
2020-07-31,10033,8738,1,1,100338738
2020-09-14,10034,18846,1,0,1003418846
2020-12-27,10035,19896,1,0,1003519896
2020-11-17,10035,30867,1,0,1003530867
2020-09-25,10035,9262,1,0,100359262
2020-11-21,10036,16059,2,0,1003616059
2020-11-21,10036,1841,2,0,100361841
2020-11-26,10036,18630,2,0,1003618630
2020-11-26,10036,20945,1,0,1003620945
2020-11-21,10036,24763,2,0,1003624763
2020-11-29,10036,31073,1,0,1003631073
2020-12-29,10036,31812,5,0,1003631812
2020-08-19,10037,16867,1,0,1003716867
2020-10-23,10038,20131,1,0,1003820131
2020-10-23,10039,4193,4,0,100394193
2020-12-06,10040,1911,1,0,100401911
2020-12-06,10040,25129,1,0,1004025129
2020-11-17,10040,31982,1,0,1004031982
2020-12-01,10040,32075,1,0,1004032075
2020-11-03,10040,3812,5,0,100403812
2020-12-06,10040,4956,2,0,100404956
2020-11-09,10042,10160,1,0,1004210160
2020-11-14,10042,29161,1,0,1004229161
2020-12-09,10044,18999,1,0,1004418999
2020-11-14,10044,29657,8,4,1004429657
2020-10-03,10045,1664,1,0,100451664
2020-11-24,10046,19281,2,0,1004619281
2020-11-24,10046,27280,1,0,1004627280
2020-11-22,10047,30006,1,0,1004730006
2020-11-12,10048,18165,2,0,1004818165
2020-10-14,10049,10203,1,0,1004910203
2020-09-22,10050,10057,4,0,1005010057
2020-09-22,10050,20748,2,0,1005020748
2020-11-09,10051,2684,1,0,100512684
2020-09-28,1005,29657,2,0,100529657
2020-09-28,1005,31073,1,0,100531073
2020-11-28,10054,1970,1,0,100541970
2020-08-06,10054,7245,3,0,100547245
2020-11-13,10056,20131,4,0,1005620131
2020-11-13,10056,8385,8,0,100568385
2020-08-18,10057,18630,2,0,1005718630
2020-11-23,100,5891,1,0,1005891
2020-08-17,10059,21927,1,0,1005921927
2020-08-17,10059,7782,1,0,100597782
2020-10-27,10063,15423,1,0,1006315423
2020-10-19,10063,20672,5,0,1006320672
2020-11-22,10063,27686,3,0,1006327686
2020-10-19,10063,9379,1,0,100639379
2020-10-17,10064,13879,1,4,1006413879
2020-10-17,10064,18954,1,4,1006418954
2020-12-19,10064,23337,1,0,1006423337
2020-10-17,10064,25129,1,4,1006425129
2020-12-13,10066,11289,1,0,1006611289
2020-11-11,10066,13367,1,0,1006613367
2020-10-23,10066,15667,1,0,1006615667
2020-11-11,10066,17716,1,0,1006617716
2020-12-20,10066,23359,3,1,1006623359
2020-10-13,10066,4448,1,0,100664448
2020-12-13,10066,4526,1,0,100664526
2020-12-20,10066,6077,3,1,100666077
2020-12-14,10067,10027,2,0,1006710027
2020-09-13,10067,10429,1,0,1006710429
2020-08-17,10067,12566,1,0,1006712566
2020-08-10,10067,1319,1,0,100671319
2020-12-14,10067,22315,2,0,1006722315
2020-10-29,10069,20594,1,0,1006920594
2020-09-12,10069,22582,1,0,1006922582
2020-10-10,10070,26136,2,0,1007026136
2020-10-10,10070,5349,1,0,100705349
2020-10-03,1007,11251,1,0,100711251
2020-11-23,1007,20628,1,0,100720628
2020-12-02,10073,17053,1,0,1007317053
2020-10-21,10073,17269,1,0,1007317269
2020-09-09,10073,22975,1,0,1007322975
2020-12-02,10073,27686,3,0,1007327686
