date,userID,itemID,order,label
2021/1/25,0,13146,2,0
2021/1/25,0,28231,2,45
2021/1/15,0,29956,1,0
2021/1/15,0,6446,1,35
2021/1/10,10001,2113,1,128
2021/1/11,1000,12140,1,0
2021/1/10,10001,22754,3,128
2021/1/10,10001,8463,1,128
2021/1/30,10002,10341,1,31
2021/1/5,10002,12587,2,0
2021/1/30,10002,1797,1,0
2021/1/30,10002,23234,1,126
2021/1/30,10002,24953,1,31
2021/1/30,10002,25012,1,67
2021/1/16,10004,11506,1,0
2021/1/16,10004,21106,2,0
2021/1/12,10004,23536,1,0
2021/1/20,10004,23812,1,0
2021/1/16,10004,30723,1,0
2021/1/16,10004,30821,1,0
2021/1/16,10004,4031,1,0
2021/1/20,10004,4346,1,0
2021/1/16,10004,9589,2,0
2021/1/3,10005,1325,1,0
2021/1/3,10005,25592,2,0
2021/1/3,10005,26790,1,0
2021/1/3,10005,28303,1,0
2021/1/15,10006,10153,1,0
2021/1/15,10006,12315,1,195
2021/1/15,10006,20594,1,0
2021/1/27,10006,2104,1,153
2021/1/15,10006,2148,1,0
2021/1/15,10006,21897,2,195
2021/1/15,10006,3904,1,0
2021/1/15,10006,5577,1,0
2021/1/2,10009,24051,1,0
2021/1/2,10009,28981,1,0
2021/1/12,10012,11914,1,0
2021/1/12,10012,14424,1,93
2021/1/19,10012,20006,1,0
2021/1/19,10012,23802,1,0
2021/1/12,10012,2417,1,58
2021/1/12,10012,2428,1,58
2021/1/12,10012,26503,1,0
2021/1/19,10012,29161,1,0
2021/1/12,10012,29203,1,0
2021/1/2,10012,30082,1,0
2021/1/12,10012,30970,1,0
2021/1/5,10013,15971,1,77
2021/1/22,10013,15971,1,17
2021/1/5,10013,17489,1,77
2021/1/5,10013,27464,1,0
2021/1/5,10013,7083,1,189
2021/1/22,10013,7083,1,17
2021/1/5,10013,7476,1,0
2021/1/5,10014,16059,1,0
2021/1/5,10014,20572,2,105
2021/1/5,10014,8246,1,0
2021/1/26,10016,16260,1,0
2021/1/5,10016,30331,1,0
2021/1/18,10017,20234,1,0
2021/1/18,10017,278,1,0
2021/1/5,10017,4400,1,0
2021/1/30,10020,28053,1,0
2021/1/30,10020,28715,2,0
2021/1/15,10021,2107,1,0
2021/1/15,10021,5891,1,0
2021/1/15,10022,23079,1,0
2021/1/15,10022,24496,1,0
2021/1/15,10022,29058,1,0
2021/1/5,10023,11251,1,0
2021/1/5,10023,13752,1,0
2021/1/5,10023,14398,1,0
2021/1/5,10023,19267,2,0
2021/1/1,10023,4604,1,136
2021/1/1,10023,8350,1,0
2021/1/1,10023,8385,3,0
2021/1/27,10024,21195,1,230
2021/1/27,10024,24299,1,0
2021/1/27,10024,31316,1,92
2021/1/15,10025,11155,1,0
2021/1/2,10025,12528,1,0
2021/1/7,10025,19004,1,0
2021/1/2,10025,7536,1,0
2021/1/7,10025,895,2,0
2021/1/24,10026,10756,1,0
2021/1/24,10026,173,1,0
2021/1/24,10026,4754,1,0
2021/1/24,10026,5162,1,107
2021/1/11,10027,11674,1,0
2021/1/11,10027,13675,1,130
2021/1/18,10027,14386,1,0
2021/1/18,10027,1794,1,0
2021/1/11,10027,20961,1,0
2021/1/11,10027,2692,2,0
2021/1/11,10027,27179,1,0
2021/1/18,10027,4879,1,0
2021/1/11,10027,5221,1,0
2021/1/11,10027,8946,1,0
2021/1/16,10029,31849,1,0
2021/1/31,10030,11527,3,78
2021/1/31,10030,20256,1,0
2021/1/31,10030,20503,1,0
2021/1/31,10030,30511,1,160
2021/1/31,10030,30532,1,0
2021/1/27,10031,17198,1,210
2021/1/27,10031,1930,2,0
2021/1/27,10031,32197,1,107
2021/1/27,10031,9439,1,0
2021/1/17,10032,11728,1,126
2021/1/17,10032,11958,1,0
2021/1/17,10032,22990,1,55
2021/1/17,10032,3918,2,0
2021/1/17,10032,4604,1,55
2021/1/17,10032,4889,1,0
2021/1/17,10032,6194,1,0
2021/1/17,10032,9906,2,55
2021/1/7,10034,1325,2,0
2021/1/7,10034,27958,2,0
2021/1/7,10034,5311,1,0
2021/1/31,10035,489,2,231
2021/1/31,10035,5107,1,0
2021/1/31,10035,9262,1,128
2021/1/27,10036,1079,2,0
2021/1/15,10036,15667,1,0
2021/1/27,10036,16059,2,67
2021/1/15,10036,18630,2,50
2021/1/1,10036,18680,1,0
2021/1/12,10036,23337,1,0
2021/1/1,10036,24496,1,0
2021/1/12,10036,24496,1,11
2021/1/15,10036,29657,2,50
2021/1/12,10036,30712,1,0
2021/1/12,10036,3535,1,0
2021/1/1,10036,6886,1,0
2021/1/24,10037,12439,1,0
2021/1/21,10037,12872,1,0
2021/1/15,10037,15380,1,31
2021/1/21,10037,15667,1,0
2021/1/24,10037,18101,1,0
2021/1/21,10037,25510,1,0
2021/1/24,10037,25939,1,0
2021/1/24,10037,26468,1,0
2021/1/24,10037,7644,1,0
2021/1/24,10037,8601,1,0
2021/1/15,10037,8935,2,0
2021/1/31,10038,15173,2,100
2021/1/25,10038,15935,1,0
2021/1/3,10038,16260,1,0
2021/1/16,10038,18073,3,0
2021/1/31,10038,1835,1,0
2021/1/25,10038,20131,4,94
2021/1/3,10038,20572,1,0
2021/1/31,10038,22183,2,100
2021/1/31,10038,23289,1,0
2021/1/16,10038,2916,1,0
2021/1/31,10038,3423,1,0
2021/1/3,10038,7428,1,0
2021/1/11,10039,10142,1,0
2021/1/11,10039,11434,2,187
2021/1/11,10039,14797,2,0
2021/1/11,10039,24943,1,0
2021/1/11,10039,6368,1,0
2021/1/2,10040,25129,1,27
2021/1/2,10040,4251,4,41
2021/1/1,10041,24557,1,0
